model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,segment_col,segment_val
pred_isotonic,6004,108.9726652361149,134.65663716834456,-1.4410892505784783,-66.16763472447082,0.385333481847389,target_ghi_bin,600-900
pred_bin_bias,6004,100.82150523457967,129.6158556327166,-1.2617489198018665,-41.028981830893336,0.40834311360730635,target_ghi_bin,600-900
pred_high_residual_cal,6004,110.99384996690085,138.3398974740929,-1.5764577691848354,-51.35771184341506,0.3685205208586656,target_ghi_bin,600-900
pred_high_residual_cal_full,6004,113.03769844701877,141.31486297196548,-1.6884614458722926,-46.919844155306855,0.35494070984708215,target_ghi_bin,600-900
pred_blend_raw_highcal_50,6004,108.96450110796297,135.476818653681,-1.4709167238547498,-58.01451337557735,0.38158960328004654,target_ghi_bin,600-900
pred_blend_iso_highcal_50,6004,109.22907644738315,135.37992365854552,-1.4673835165035367,-58.762673283942945,0.38203189940847193,target_ghi_bin,600-900
persistence,2254,177.31201793636708,249.85901432615526,-17.384400015399187,-153.2638990366333,0.0,target_ghi_bin,900+
pred_raw,2254,163.48882624862554,192.05466452281797,-9.861983414668867,-163.2049868390013,0.23134786615255742,target_ghi_bin,900+
pred_isotonic,2254,163.36668117675373,192.96738658094975,-9.965469882963735,-163.0998707248767,0.22769491786652774,target_ghi_bin,900+
pred_bin_bias,2254,134.12618249227148,169.3153658563418,-7.44213247696222,-132.88477298081708,0.3223563844075492,target_ghi_bin,900+
pred_high_residual_cal,2254,138.01063328983483,172.11262083874558,-7.723381219547523,-135.93484800933788,0.3111610509514092,target_ghi_bin,900+
pred_high_residual_cal_full,2254,130.85747686748255,167.38306130069543,-7.250541045756179,-126.84480173278342,0.33008996392581313,target_ghi_bin,900+
pred_blend_raw_highcal_50,2254,150.17861155421036,181.09497732042527,-8.657667003280574,-149.5699174241696,0.2752113514542579,target_ghi_bin,900+
pred_blend_iso_highcal_50,2254,150.16525471258245,181.58725354301052,-8.71024385220582,-149.5173593671073,0.27324113547500717,target_ghi_bin,900+
persistence,2210,108.52444022624435,131.70283136326432,-12.628424980515947,96.3912653846154,0.0,pred_ghi_bin,0-100
pred_raw,2210,23.03425293022412,29.316054467978137,0.3247470587187449,12.253534949590557,0.777407560911745,pred_ghi_bin,0-100
pred_isotonic,2210,20.135119605003695,27.105853676543898,0.422726496791501,5.340025145096251,0.7941892866237613,pred_ghi_bin,0-100
pred_bin_bias,2210,19.799744848455095,26.942763821774165,0.42965224949776326,4.130312343885661,0.7954276036218211,pred_ghi_bin,0-100
pred_high_residual_cal,2210,23.03521037686566,29.31693893930907,0.32470631306671327,12.272379822468588,0.7774008452525464,pred_ghi_bin,0-100
pred_high_residual_cal_full,2210,23.038201304000314,29.32088236796079,0.32452463300949896,12.278661446761268,0.7773709033856107,pred_ghi_bin,0-100
pred_blend_raw_highcal_50,2210,23.03072398616368,29.314444112234035,0.3248212411151561,12.262957386029573,0.7774197881032748,pred_ghi_bin,0-100
pred_blend_iso_highcal_50,2210,21.410492104364188,27.985679504375778,0.38464298313666345,8.80620248378242,0.787508900038866,pred_ghi_bin,0-100
persistence,5333,175.41642292913633,221.3428897681186,-2.864502524528406,32.624197465044844,0.0,pred_ghi_bin,100-300
pred_raw,5333,74.98670247471067,98.25051488295912,0.23856626517433588,23.553999162546933,0.5561162367316722,pred_ghi_bin,100-300
pred_isotonic,5333,73.88405572026588,97.44072151541535,0.2510662082915601,20.41843527286734,0.5597747837416626,pred_ghi_bin,100-300
